GE Blade fails in Indiana,yes
" SeeNews Jan 8 , 2015 Investigations have commenced after a blade on a Vestas turbine at the 15 2-MW Tursillagh wind park in Ireland separated from the machine and fell to the ground over the weekend",yes
You re only dealing with very low-voltage DC and all the AC is in a protected circuit it goes through a breaker,no
"As well as supplying the 404 MVA generators for the plant s five Francis turbines , the control and automation systems for the plant and its substations , and mechanical and electrical balance of plant , Voith Hydro is responsible for delivery of the associated transmission infrastructure",no
"It is hard to justify this kind of bird and bat slaughter for the amount of electricity we are generating here , council spokesman John Sheehan said",no
"the spare parts chamber includes constantly powered, and the governor panel monitors the health of each module",no
"a fortnight however, half of the 14 boards abruptly opted out of the scheme in the face of local opinion",no
Now wind farms threaten sea eagles,no
"A blade came off approx 1 hour after that , then the second and third blades fell off",yes
Turbine blades back on road after being stranded in Sioux City,yes
Parents of youngsters at the 18-pupil Raasay Primary School were asked to collect their children following the incident on November 13,no
"Sunflower Wind's suit claims Arlwin manufactured blades for three tublines , two of which were installed in Lane County and the third in Smith County",no
Shipper s Stevedoring vs Suzlon,no
No injuries,no
City College wind turbine brought down in gusts of less than 70mph,yes
"for example, new central assembly systems include modifications to existing control network architecture and plc programming",no
This is as true of coal-fired central systems as it is of solar or wind,no
photos are taken of both incidents,no
"Wind turbine smashes onto Autobahn , blocking traffic for hours Reports from various sources that a wind turbine blade fell from its transporter , crashing onto the A33 Autobahn near Bielefeld in Germany , blocking traffic for hours",yes
Film crewman hurt in turbine accident,yes
I was shocked by the whole incident as I had been out in the yard shortly before one of the blades landed there,yes
Rotor blade points computed to reach speeds of 800km hr,no
lucky and be alive but should not have been allowed in the area at the first place,no
"Coal-fired power generation will decrease from 67 percent in 2012 to 44 percent in 2030 , or 25 GW annually , while renewable generation will increase from 27 percent in 2012 to 44 percent in 2030 , at 47 GW per year",no
Three blades broke off during storm from three separate turbines,yes
"How and Why the Unit Failed The failure event began at 5 05 a m on March 2 , 2008 , when unit output dropped to 237 MW from 254 MW",yes
An explosion and fire at a wind farm under construction in northeast Nebraska has injured three workers,yes
"Over 50 require inspection and retrofitting , 25 remain shut down",no
Portland Olympic sailing venue wind turbine blows over Wind turbine blown over in high winds,yes
"Rising fuel prices , growing national security concerns and a new tax incentive for biodiesel are all contributing to renewed interest in biodiesel the cleaner burning alternative to petroleum-based diesel made from renewable resources like soybeans and other natural fats and oils",no
"The 1 million wind turbine destroyed after mysterious glowing orbs were spotted in the sky was not hit by a UFO after all but broke due to mechanical failure , investigators have disclosed",yes
the helicopter was being used during a project to develop new transmission lines to bring down power from wind farms,no
No comment on how far blade pieces travelled,no
"Seven miles of county Route 35 , listed in fair condition before construction began , will need extensive repairs , including four miles of rebuilding",no
The nacelles were being prepared for transport via truck and Shippers Stevedoring arranged for a welder to cut additional holes on the metal skids attached to the nacelles,no
"Two more Golden Eagles carcasses found at this wind farm , bringing the total to 8 killed",yes
Two turbines caught fire in Dr me Two turbines 3km apart caught fire at Rochefort-en-Valdaine,yes
Turbine blade reported thrown on 19 July at the 4 turbine Lower Weeze Wemb windfarm in Germany,yes
The turbine is reported to have been broken for at least 6 months,yes
"Canadian Environmental Assessment conclude that this single wind farm killed 156 bats and 82 birds in 2010 , 40 were endangered species",yes
Blades replaced after blades were thrown off a similar turbine at Perkins High School in February,yes
"Hydro is one of the most stable forms of energy generation because the generators run continuously , so this really buttressed Kodiak s strategy to set the diesel plant aside and take on another clean energy source wind",no
Unregulated Chinese mines repotted as the source for over 95 percent of global shipments of 17 rare earth metals used in wind turbines and other items,no
Confirmed the following morning,no
Turbine only 2 years old,no
Investigators search for cause of small fire at Kahuku wind farm,yes
their case was never disclosed at the time of the press report,no
"In early 2001 , there was a cable fault on the link between the two turbines",yes
"Safety fears after faults found in toppled turbines Report of HSE investigation into two West Country turbine collapses in 2013 has found poor design , use of inferior materials and a systematic failure to install the turbines properly",yes
neg immediately started retrofitting a serial number within its wind turbine gearboxes with flender manufactured ones,no
"I suppose technically , it could have hit a cow , but the cows got out of the way , says Fitzsimons , the government's energy efficiency spokeswoman",no
"No-one was injured , though a man had been mowing grass beneath the tower only minutes before",no
A worker was treated in hospital for burns caused by an electrical flash while working to repair the shore cables,yes
Residents have asked local council to intervene after their lives have become adversely affected by the nearby Raheenleagh wind farm and turbines,yes
HSE are investigating,no
Worries at Victorian wind farm after rotor blade snaps,yes
The other two blades also damaged by lightning are now being replaced,yes
"it is been frustrating, says dan moore, director and economic development for climate energy solutions",no
Wind farm trucks contributing to road problems The pavement on Brainardsville Road is cracked from hundreds of truck trips made to wind-farm projects in western Clinton and eastern Franklin counties,yes
"all his captains needed to be replaced, and moore",no
first strong winds at the tuirbines were installed on 17 october,no
"before the accident, sayano - shushenskaya was 6th largest hydropower plant of russia and the sixth largest outside the world",no
"The utility discovered that little has been studied about human factors in the context of dam safety when compared to other industries such as nuclear power , transportation , and medicine",no
The fire department could do nothing but watch and control the resulting burning debris,no
eight of its 28 turbines installed automatically started,no
Turbines are affecting people Lynn,no
Traverse City Light Power's towering wind turbine along M-72 in Leelanau County's Elmwood Township has been idle for more than three months,no
"A councillor has resigned after being filmed offering to act as an intermediatary for a company , in return for financial reward",no
