Month,Utility_Number,Name,State,AMR_Total,AMI_Total
1,213,Alaska Electric Light&Power Co,AK,"14,977",0
1,219,Alaska Power and Telephone Co,AK,"7,639",0
1,221,"Alaska Village Elec Coop, Inc",AK,"10,887",0
1,599,Anchorage Municipal Light and Power,AK,"30,456",0
1,3522,Chugach Electric Assn Inc,AK,"69,345","12,269"
1,7353,Golden Valley Elec Assn Inc,AK,"45,576",0
1,10210,Ketchikan Public Utilities,AK,0,"4,740"
1,10433,Kodiak Electric Assn Inc,AK,"5,761",0
1,10451,Kotzebue Electric Assn Inc,AK,79,"1,058"
1,11824,Matanuska Electric Assn Inc,AK,"35,011","22,506"
1,19558,Homer Electric Assn Inc,AK,"29,558",82
1,195,Alabama Power Co,AL,0,"1,432,145"
1,4958,Decatur Utilities,AL,0,243
1,9094,City of Huntsville - (AL),AL,0,16
1,9739,Joe Wheeler Elec Member Corp,AL,0,"42,805"
1,17252,Singing River Elec Pwr Assn,AL,324,0
1,18642,Tennessee Valley Authority,AL,0,31
1,814,Entergy Arkansas Inc,AR,"18,460",684
1,817,Arkansas Valley Elec Coop Corp,AR,0,"53,835"
1,3093,Carroll Electric Coop Corp - (AR),AR,0,"82,117"
1,6342,First Electric Coop Corp,AR,0,"90,999"
1,12681,Mississippi County Electric Co,AR,"4,500",0
1,13718,City of North Little Rock - (AR),AR,51,"35,915"
1,14063,Oklahoma Gas & Electric Co,AR,0,"68,410"
1,17698,Southwestern Electric Power Co,AR,"105,083",0
1,803,Arizona Public Service Co,AZ,324,"1,183,896"
1,12919,Morenci Water and Electric,AZ,"2,590",0
1,13314,Navajo Tribal Utility Authority,AZ,0,"28,429"
1,16572,Salt River Project,AZ,3,"887,784"
1,19189,Trico Electric Cooperative Inc,AZ,609,"43,746"
1,19728,"UNS Electric, Inc",AZ,"82,207",151
1,21538,"Mohave Electric Cooperative, I",AZ,0,"37,596"
1,24211,Tucson Electric Power Co,AZ,"422,095",53
1,25866,Ak-Chin Electric Utility Authority,AZ,439,0
1,4390,City of Corona - (CA),CA,"1,324",0
